Carrier,Route Code,Vessel Name,Vessel Capacity (in MT),Vessel Ramp Height (in meters),Voyage Number,Port Name,port_code,Date of Arrival (ETA)
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,102,Freeport,BS FPO,03/4/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,102,Jacksonville,US JAX,29/3/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,102,Baltimore,US BAL,12/4/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,102,Wilmington,US ILM,13/4/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,102,Livorno,IT LIV,26/4/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,102,Aqaba,JO AQJ,04/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,102,Jeddah,SA JED,06/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,102,Sohar,OM SOH,20/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,102,Jebel,AE JEA,16/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,102,Abu Dhabi,AE AUH,24/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,102,Hamad,BH TOW,17/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,102,Bahrain,BH KBS,26/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,102,Dammam,SA DMN,18/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,102,Shuwaikh,KW SWK,28/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,102,Umm,IQ UQR,20/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Freeport,BS FPO,24/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Jacksonville,US JAX,31/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Baltimore,US BAL,03/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Wilmington,US ILM,05/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Livorno,IT LIV,17/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Thessaloniki,GR SKG,22/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Beirut,LB BEY,25/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Israel,IL,04/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Aqaba,JO AQJ,28/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Jeddah,SA JED,01/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Sohar,OM SOH,11/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Jebel,AE JEA,08/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Abu Dhabi,AE AUH,18/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Hamad,BH TOW,10/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Bahrain,BH KBS,18/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Dammam,SA DMN,11/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Shuwaikh,KW SWK,18/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,96,Umm,IQ UQR,15/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Freeport,BS FPO,16/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Jacksonville,US JAX,11/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Baltimore,US BAL,05/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Wilmington,US ILM,24/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Thessaloniki,GR SKG,08/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Beirut,LB BEY,11/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Israel,IL,22/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Aqaba,JO AQJ,16/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Jeddah,SA JED,20/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Sohar,OM SOH,30/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Jebel,AE JEA,28/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Abu Dhabi,AE AUH,07/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Hamad,BH TOW,29/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Bahrain,BH KBS,07/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Dammam,SA DMN,31/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Shuwaikh,KW SWK,07/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,40,Umm,IQ UQR,04/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Freeport,BS FPO,15/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Jacksonville,US JAX,21/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Baltimore,US BAL,24/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Wilmington,US ILM,25/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Livorno,IT LIV,05/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Beirut,LB BEY,09/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Israel,IL,19/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Aqaba,JO AQJ,13/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Jeddah,SA JED,15/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Sohar,OM SOH,25/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Jebel,AE JEA,23/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Abu Dhabi,AE AUH,02/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Hamad,BH TOW,02/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Bahrain,BH KBS,02/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Dammam,SA DMN,25/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Shuwaikh,KW SWK,02/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,104,Umm,IQ UQR,30/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,,42,Freeport,BS FPO,25/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,,42,Jacksonville,US JAX,01/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,,42,Wilmington,US ILM,05/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,,42,Beirut,LB BEY,20/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,,42,Israel,IL,29/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,,42,Aqaba,JO AQJ,23/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,,42,Jeddah,SA JED,26/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,,42,Sohar,OM SOH,05/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,,42,Jebel,AE JEA,03/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,,42,Abu Dhabi,AE AUH,13/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,,42,Hamad,BH TOW,13/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,,42,Bahrain,BH KBS,13/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,,42,Dammam,SA DMN,04/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,,42,Shuwaikh,KW SWK,13/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Passion ,,,42,Umm,IQ UQR,10/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,98,Freeport,BS FPO,08/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,98,Jacksonville,US JAX,14/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,98,Wilmington,US ILM,18/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,98,Livorno,IT LIV,30/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,98,Israel,IL,13/10/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,98,Aqaba,JO AQJ,07/10/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,98,Jeddah,SA JED,09/10/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,98,Sohar,OM SOH,19/10/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,98,Jebel,AE JEA,17/10/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,98,Abu Dhabi,AE AUH,27/10/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,98,Hamad,BH TOW,27/10/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,98,Bahrain,BH KBS,27/10/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,98,Dammam,SA DMN,19/10/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,98,Shuwaikh,KW SWK,27/10/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,98,Umm,IQ UQR,24/10/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,95,Mokpo,KR MOK,20/4/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,95,Higashi,JP HHR,22/4/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,95,Freeport,BS FPO,24/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,95,Jacksonville,US JAX,31/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,95,Brunswick,US BCK,19/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,95,Baltimore,US BAL,03/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,39,Pyeongtaek,KR PTK,04/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,39,Higashi,JP HHR,09/5/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,39,Freeport,BS FPO,16/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,39,Jacksonville,US JAX,11/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,39,Brunswick,US BCK,10/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,39,Baltimore,US BAL,05/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,103,Inchon,KR INC,08/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,103,Mokpo,KR MOK,10/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,103,Yokohama,JP YOK,14/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,103,Higashi,JP HHR,12/6/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,103,Freeport,BS FPO,15/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,103,Jacksonville,US JAX,21/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,103,Brunswick,US BCK,07/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Pride ,,,103,Baltimore,US BAL,24/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,97,Inchon,KR INC,31/7/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,97,Mokpo,KR MOK,02/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,97,Higashi,JP HHR,04/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,97,Freeport,BS FPO,08/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,97,Jacksonville,US JAX,14/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Promise ,,,97,Brunswick,US BCK,01/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,41,Inchon,KR INC,20/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,41,Mokpo,KR MOK,21/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,41,Higashi,JP HHR,24/8/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,41,Freeport,BS FPO,27/9/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,41,Jacksonville,US JAX,03/10/2022
LIBERTY GLOBAL LOGISTICS,,Liberty Peace ,,,41,Brunswick,US BCK,20/9/2022
