Port Name,Port_code
Abu Dhabi,AE AUH
Ad Dammam,SA DMM
Altamira,BR ATM
Antwerpen,BE ANR
Aratu,BR ARB
Asunción,PY ASU
Balboa,CO BAL
Benicia,US BNC
Borusan,BO RUS
Brunswick,US BCK
Davisville,US DVV
East London,ZA ELS
Eca Ent.Point Usec Jxv/Buw/Svn,US JBS
El Iskandariya (Alexandria),EG ALY
Ennore,IN ENR
Ennore,IN ENR
Entry Point Eca North Uswc,US NWC
Entry Point Eca South Uswc,US SWC
Entry Point Of Seca Area In Eu,EU ESA
Fos-Sur-Mer,FR FM3
Fos-Sur-Mer,FR FM3
Galveston,US GLS
Gamagori,JP GAM
Gunsan,KR KUV
Hai Phong,VN HPH
Hakata/Fukuoka,JP HKT
Hamad,BH TOW
Hambantota,LK HBA
Hanko,FI HKO
Hitachi,JP HTC
Hitachinaka,JP HIC
Huangpu,CN HUA
Immingham,GB IMM
Incheon,KR INC
Kanda,JP KND
Kisarazu,JP KZU
Lian Yun Gang,CN LYG
Lyttelton,NZ LYT
Majuro,MH MAJ
Mundra,IN MUN
New Westminster,CA NWE
Newark,GB NRK
Newcastle,AU NTL
"Newport News, Va",US NNS
Omaezaki,JP OMZ
Panama Canal,PA PCN
Pipavav (Victor) Port,IN PAV
Port Hueneme,US NTD
Port Kembla,AU PKL
Port Of Spain,TT POS
Port-Au-Prince,HT PAP
Providence,US PV5
Puerot Cortes,HN PCR
Puerto Limon,CO PNM
Pyeongtaek,KR PTK
Saint George'S,GD STG
Sakaisenboku,JP SBK
Salerno,IT SAL
San Diego,CO SDI
Sheerness,GB SHS
Shimonoseki,JP SHS
Sohar,OM SOH
Southern Red Sea,RED SE
St John'S (Ant),AG SJO
Suape,BR SUA
Taipei,TW TPE
Tangermed,DE TAE
Tangiers Med,MA PTM
Tilbury,GB TIL
Toyohashi,JP THS
Vit Ria Brazil,BR VIX
Wallhamn,SE WAL
Whitehillpoint,GB WPN
Whp,GB WPN
Xingang,CN XGA
Xinsha,CN XNA
Yenikoy,TR JYN
Yokkaichi,JP YKK
Yokosuka,JP YOS
Zarate,AR ZAE
Aruba,AW ORJ
Bauan,PH BAU
Bayonne,US BAY
Delta Dock Argentina,AR DSU
Djen-Djen,DZ DJE
Grimsby,GB GSY
Nakanoseki,JP NAN
Pyongtaek,KR PTK
Salalah,OM SLL
Sharjah,AE SHJ
Tanger,MA TNG
Uslan,KR USN
Zhoushan Pt,CN ZOS
Sagunto,ES SAG
